iter	RMSE
0	81.44164719
1	75.05372689
2	69.25097595
3	63.91965344
4	58.78346938
5	54.04555337
6	50.06684002
7	46.23014421
8	42.73070867
9	39.50005613
10	36.72123802
11	34.20021037
12	31.82851536
13	29.61439284
14	27.59484114
15	25.8342807
16	24.22607178
17	22.90499589
18	21.57179307
19	20.36615196
20	19.31820831
21	18.36124642
22	17.48068767
23	16.69437762
24	16.08039628
25	15.47926025
26	14.89393869
27	14.43772957
28	14.01687044
29	13.60056955
30	13.25137504
31	12.94087234
32	12.64479942
33	12.39900712
34	12.16641431
35	11.98458355
36	11.83140642
37	11.66120196
38	11.51357131
39	11.39508755
40	11.28392105
41	11.20020013
42	11.10003528
43	11.02698762
44	10.95828498
45	10.89129523
46	10.8297582
47	10.77792247
48	10.73018279
49	10.68612292
50	10.64764309
51	10.60785747
52	10.5729181
53	10.54203046
54	10.51437917
55	10.48901857
56	10.4671986
57	10.44271546
58	10.4145444
59	10.39495873
60	10.37554224
61	10.35887224
62	10.33974142
63	10.32452064
64	10.30872693
65	10.29389728
66	10.27769234
67	10.26609886
68	10.25138199
69	10.23516697
70	10.2227429
71	10.21129509
72	10.20247694
73	10.18432093
74	10.17196158
75	10.16093189
76	10.15230015
77	10.13238583
78	10.11975565
79	10.10954403
80	10.09794076
81	10.0847068
82	10.07423255
83	10.06357462
84	10.05412063
85	10.04279886
86	10.03510379
87	10.02354694
88	10.01505034
89	10.00045652
90	9.983893761
91	9.97021112
92	9.958832475
93	9.948329313
94	9.939199376
95	9.931767872
96	9.925184508
97	9.916135665
98	9.909774706
99	9.897968612
