iter	Passed	Remaining
0	151	15002
1	155	7602
2	158	5121
3	161	3884
4	165	3142
5	168	2635
6	171	2280
7	174	2010
8	178	1801
9	180	1625
10	183	1483
11	186	1370
12	189	1269
13	193	1188
14	196	1112
15	199	1046
16	201	985
17	204	932
18	207	884
19	209	839
20	213	802
21	215	765
22	219	733
23	222	703
24	225	675
25	227	648
26	230	624
27	233	600
28	236	578
29	239	558
30	241	538
31	243	518
32	246	499
33	248	482
34	251	466
35	253	451
36	256	436
37	258	421
38	261	408
39	263	395
40	266	383
41	269	372
42	272	361
43	275	350
44	277	339
45	280	328
46	282	319
47	285	308
48	288	299
49	290	290
50	293	282
51	296	273
52	299	265
53	302	257
54	305	249
55	307	241
56	309	233
57	311	225
58	314	218
59	316	210
60	318	203
61	320	196
62	322	189
63	324	182
64	326	175
65	329	169
66	331	163
67	333	157
68	335	150
69	338	144
70	340	139
71	342	133
72	344	127
73	347	121
74	349	116
75	352	111
76	354	105
77	356	100
78	358	95
79	360	90
80	363	85
81	365	80
82	367	75
83	369	70
84	371	65
85	374	60
86	376	56
87	378	51
88	380	47
89	382	42
90	385	38
91	387	33
92	389	29
93	391	25
94	394	20
95	396	16
96	398	12
97	401	8
98	403	4
99	405	0
